NODE_KEY,CITY,POSTAL_CODE,STREET,BUILDING,COUNTRY,ADDRESS_TYPE,VAL_START_DATE,VAL_END_DATE,LATITUDE,LONGITUDE
MID67890,Mumbai,400001,Example Street,Building A,India,Home,2023-01-01,2025-12-31,72.8777,19.0760
MID67891,Delhi,110001,Sample Road,Building B,India,Office,2023-01-01,2025-12-31,77.1025,28.7041
MID67892,Bangalore,560001,Test Avenue,Building C,India,Home,2023-01-01,2025-12-31,77.5946,12.9716
MID67893,Chennai,600001,Demo Lane,Building D,India,Office,2023-01-01,2025-12-31,80.2707,13.0827
MID67894,Pune,411001,Mock Boulevard,Building E,India,Home,2023-01-01,2025-12-31,73.8567,18.5204
MID67895,Kolkata,700001,Example Path,Building F,India,Office,2023-01-01,2025-12-31,88.3639,22.5726
MID67896,Hyderabad,500001,Sample Street,Building G,India,Home,2023-01-01,2025-12-31,78.4867,17.3850
MID67897,Ahmedabad,380001,Test Road,Building H,India,Office,2023-01-01,2025-12-31,72.5714,23.0225
MID67898,Surat,395001,Demo Avenue,Building I,India,Home,2023-01-01,2025-12-31,72.8311,21.1702
MID67899,Jaipur,302001,Mock Lane,Building J,India,Office,2023-01-01,2025-12-31,75.7873,26.9124
